original_Names,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
HealthAsyst,,,,,,,,,,,,,,,,,,,,
EA Team Inc,9.405462,76.787481,"ea, -, KL, India",,,ea,,,,,Pathanamthitta,PT,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
WisdmLabs,,,,,,,,,,,,,,,,,,,,
Softdel,,,,,,,,,,,,,,,,,,,,
DataCore Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,,,343001,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Creative Synergies Group,,,,,,,,,,,,,,,,,,,,
Neviton Softech.,26.7225253,88.4280329,"Softech Water Treatment, Sevoke Road, Siliguri - 734001, WB, India",Softech Water Treatment,,Sevoke Road,,,734001,Siliguri,Matigara block,DA,West Bengal,WB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maintec Technologies,13.0047554,77.6628908,"Maintec Technologies Pvt Ltd, 3rd Main Road, Kasturi Nagar, Bengaluru - 560043, KA, India",Maintec Technologies Pvt Ltd,,3rd Main Road,Bengaluru Central City Corporation,Kasturi Nagar,560043,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
IANT,12.9813015,77.6019073,"IANT, Infantry Road, Shivajinagar, Bengaluru - 560001, KA, India",IANT,,Infantry Road,Bengaluru Central City Corporation,Shivajinagar,560001,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TechTammina LLC,20.349079,85.807721,"AuroIN LLC, TCS Footpath, Bhubaneswar Municipal Corporation - 751024, OR, India",AuroIN LLC,,TCS Footpath,,,751024,Bhubaneswar Municipal Corporation,Cuttack,CU,Odisha,OR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ZenQ,,,,,,,,,,,,,,,,,,,,
Saicon,,,,,,,,,,,,,,,,,,,,
WAISL,,,,,,,,,,,,,,,,,,,,
Olive Technology,9.967037,76.300291,"Olive Downtown, Ernakulam - 682036, KL, India",,,Olive Downtown,,,682036,Ernakulam,Ernakulam,ER,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
itelligence India Software Solutions,,,,,,,,,,,,,,,,,,,,
Span Technology Services,12.972063,80.243268,"Ford Technology Services, Ward 184, Chennai - 600096, TN, India",,,Ford Technology Services,Perungudi,Ward 184,600096,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Niyuj,,,,,,,,,,,,,,,,,,,,
EPIKInDiFi,,,,,,,,,,,,,,,,,,,,
STAND 8 Technology Services,,,,,,,,,,,,,,,,,,,,
Mantra,26.9247389,75.8244663,"Jantar Mantar, Tripolia Bazaar, Ramganj, Jaipur - 302001, RJ, India",Jantar Mantar,,Tripolia Bazaar,,Ramganj,302001,Jaipur,Jaipur Tehsil,,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Matellio,,,,,,,,,,,,,,,,,,,,
AdaniConneX,12.8215853,80.2261104,"AdaniConneX Chennai 1, Rajiv Gandhi Salai, Kazhipattur, Thiruporur, Chengalpattu District, Siruseri - 603103, TN, India",AdaniConneX Chennai 1,,Rajiv Gandhi Salai,,"Kazhipattur, Thiruporur, Chengalpattu District",603103,Siruseri,Tiruporur,KC,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Navis,12.9175633,77.5831374,"Navis HR, 44 Cross Road, Pattabhirama Nagara, Bengaluru - 560041, KA, India",Navis HR,,44 Cross Road,Bengaluru South City Corporation,Pattabhirama Nagara,560041,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SurePrep LLC,20.349079,85.807721,"AuroIN LLC, TCS Footpath, Bhubaneswar Municipal Corporation - 751024, OR, India",AuroIN LLC,,TCS Footpath,,,751024,Bhubaneswar Municipal Corporation,Cuttack,CU,Odisha,OR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Percipere,,,,,,,,,,,,,,,,,,,,
Bridge Global,10.0093978,76.3144747,"Bridge Global, 41/1368A, Pipeline Road, Padivattom, Ernakulam - 682024, KL, India",Bridge Global,41/1368A,Pipeline Road,,Padivattom,682024,Ernakulam,Kanayannur,ER,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"AGDATA, LP",,,,,,,,,,,,,,,,,,,,
Girmiti Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,,,343001,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
iBridge,,,,,,,,,,,,,,,,,,,,
Glu Mobile,,,,,,,,,,,,,,,,,,,,
Inatech,,,,,,,,,,,,,,,,,,,,
PurpleTalk,,,,,,,,,,,,,,,,,,,,
Infobelt,,,,,,,,,,,,,,,,,,,,
Maropost,,,,,,,,,,,,,,,,,,,,
Pelican.ai,13.0832477,77.608862,"Maia Pelican Grove, Jakkur, Bengaluru - 560064, KA, India",Maia Pelican Grove,,,Bengaluru North City Corporation,Jakkur,560064,Bengaluru,Yelahanka taluku,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lumel,,,,,,,,,,,,,,,,,,,,
CETPA Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Angara E,23.402472,85.510425,"Angara - 835104, JH, India",,,,,,835104,Angara,Angara,,Jharkhand,JH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GoldenSource,,,,,,,,,,,,,,,,,,,,
Docmation,,,,,,,,,,,,,,,,,,,,
Codelogicx,,,,,,,,,,,,,,,,,,,,
DotPe,,,,,,,,,,,,,,,,,,,,
Infollion Research Services,12.973453,77.6163347,"Millward Brown Market Research Services India Pvt. Ltd, Mahatma Gandhi Road, K Kamaraj Ward, Bengaluru - 560042, KA, India",Millward Brown Market Research Services India Pvt. Ltd,,Mahatma Gandhi Road,Bengaluru Central City Corporation,K Kamaraj Ward,560042,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zemoso Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
BURGEON IT SERVICES,28.5396614,77.2697139,"Accel IT Services, A-61/1, Okhla Industrial Area Phase 2, Sarita Vihar Tehsil, Delhi - 110020, DL, India",Accel IT Services,A-61/1,Okhla Industrial Area Phase 2,South East Delhi,Sarita Vihar Tehsil,110020,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ECS Fin,22.7559102,75.8949514,"ECS bagless school, N Service Road, Indore City, Indore - 452001, MP, India",ECS bagless school,,N Service Road,Indore City,,452001,Indore,Juni Indore Tahsil,IN,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Innobox,,,,,,,,,,,,,,,,,,,,
