original_Company Name,lat,lon,formatted,name,housenumber,street,postcode,district,county_code,city,county,state,state_code,country,country_code,
NTT DATA,12.9364988,77.5772622,"NTT Data, 3rd Main Road, Yediyuru, Bengaluru - 560004, KA, India",NTT Data,,3rd Main Road,560004,Bengaluru West City Corporation,,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Aditi Consulting,28.795405,77.036358,"Aditi Mahavidyalaya, Auchandi Road, Delhi - 110039, DL, India",Aditi Mahavidyalaya,,Auchandi Road,110039,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
RateGain,,,,,,,,,,,,,,,, 
Envestnet,8.5231886,76.9546826,"Envestnet Inc., Pattom Kowdiar Road, Kowdiar, Thiruvananthapuram - 695001, KL, India",Envestnet Inc.,,Pattom Kowdiar Road,695001,,TV,Thiruvananthapuram,Thiruvananthapuram,Kerala,KL,India,in,
Sun Life,12.9732636,77.6170168,"Birla Sun Life Mutual Fund, Mahatma Gandhi Road, K Kamaraj Ward, Bengaluru - 560042, KA, India",Birla Sun Life Mutual Fund,,Mahatma Gandhi Road,560042,Bengaluru Central City Corporation,,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Eka Software Solutions,12.9864281,77.5952553,"Planvisage Software Solutions, 35/1, 2nd Floor, Cunningham Hallmark, Cunningham Road, Vasanth Nagar, Bengaluru - 560001, KA, India",Planvisage Software Solutions,"35/1, 2nd Floor, Cunningham Hallmark",Cunningham Road,560001,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Gateway Group of Companies,24.5788881,73.683713,"Gateway, 51, City Palace Road, Udaipur - 313001, RJ, India",Gateway,51,City Palace Road,313001,,UP,Udaipur,Girwa Tehsil,Rajasthan,RJ,India,in,
GreyOrange,,,,,,,,,,,,,,,,
FiveS Digital,24.5321762,73.6868878,"FiveS Digital, Udaipur Bypass, Udaipur - 313001, RJ, India",FiveS Digital,,Udaipur Bypass,313001,,UP,Udaipur,Girwa Tehsil,Rajasthan,RJ,India,in,
Areteans,,,,,,,,,,,,,,,,
Nitor Infotech,18.539534,73.8289767,"Nitor Infotech, Senapati Bapat Marg, Model Colony, Pune - 411001, MH, India",Nitor Infotech,,Senapati Bapat Marg,411001,Ghole Road,PU,Pune,Pune City,Maharashtra,MH,India,in,
Altudo,,,,,,,,,,,,,,,,
mjunction services,30.111017,78.2825,"Services, Someshwar Nagar, Rishikesh - 249201, UT, India",,,Services,249201,,DD,Rishikesh,Dehradun,Uttarakhand,UT,India,in,
Uniphore,,,,,,,,,,,,,,,,
Netcore Cloud,12.956903,77.728948,"Cloud, Hagadur, Bangalore - 560066, KA, India",,,Cloud,560066,Mahadevapura,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Smart IMS,20.2834826,85.7696633,"IMS SUM Hospital, Khandagiri - Chandaka Road, Khandagiri, Bhubaneswar Municipal Corporation - 751003, OR, India",IMS SUM Hospital,,Khandagiri - Chandaka Road,751003,South West Zone,KH,Bhubaneswar Municipal Corporation,Bhubaneswar (M.Corp.),Odisha,OR,India,in,
Gupshup,12.9318223,77.6129861,"Gupshup, Doctor M H Marigowda Road, Chikka Adugodi, Bengaluru - 560029, KA, India",Gupshup,,Doctor M H Marigowda Road,560029,Bengaluru South City Corporation,BN,Bengaluru,Bangalore South,Karnataka,KA,India,in,
Aeries Technology Group,26.514284,80.230351,"Rural Technology Action Group, Kanpur - 208016, UP, India",,,Rural Technology Action Group,208016,,KN,Kanpur,Kanpur,Uttar Pradesh,UP,India,in,
Impelsys,12.9733797,77.6164391,"Impelsys India Pvt Ltd, Mahatma Gandhi Road, K Kamaraj Ward, Bengaluru - 560042, KA, India",Impelsys India Pvt Ltd,,Mahatma Gandhi Road,560042,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Tanla Platforms,20.551863,82.960224,"Tanla, Bolangir, India",,,,,,,Tanla,Bolangir,Odisha,OR,India,in,
V2Solutions,,,,,,,,,,,,,,,,
Tata Digital,21.599926,82.922558,"Tata, Raipur, India",,,,,,,Tata,Raipur,Chhattisgarh,CT,India,in,
CRMNEXT,,,,,,,,,,,,,,,,
"DynPro,",12.9744184,77.6144693,"DynPro India Pvt Ltd, Dickenson Road, K Kamaraj Ward, Bengaluru - 560042, KA, India",DynPro India Pvt Ltd,,Dickenson Road,560042,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Zenoti,,,,,,,,,,,,,,,,
Damco Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
WinWire Technologies,12.915981,77.651606,"Foradian Technologies, 2569/665, 27th Main Rd, 1st Sector, HSR Layout, HSR Layout, Bangalore - 560102, KA, India",Foradian Technologies,2569/665,"27th Main Rd, 1st Sector, HSR Layout",560102,Bommanahalli ,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Mindtickle,,,,,,,,,,,,,,,,
Aujas Cybersecurity,18.5639224,73.7744021,"Kapstone Cybersecurity Private Limited – an iC Consult Company, 110, Gopal Hari Deshmukh Marg, Baner, Pune - 411045, MH, India",Kapstone Cybersecurity Private Limited – an iC Consult Company,110,Gopal Hari Deshmukh Marg,411045,Balewadi Phata,PU,Pune,Pune City,Maharashtra,MH,India,in,
CRMIT Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Orange Business Services,10.532049,76.2623842,"GramPro Business Services Private Limited, Mannuthy Urakkam Road, Thrissur - 680655, KL, India",GramPro Business Services Private Limited,,Mannuthy Urakkam Road,680655,,TS,Thrissur,Thrissur,Kerala,KL,India,in,
Rite Software,10.0274658,76.3110466,"Rite Cure Health Services, Edappally Pukkattupady Road, Thrikkakkara, Kalamassery - 682033, KL, India",Rite Cure Health Services,,Edappally Pukkattupady Road,682033,Marottichodu,ER,Kalamassery,Kanayannur,Kerala,KL,India,in,
Elsner Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
VFI SLK,13.106941,77.577065,"SLK Software, Yelahanka Satellite Town, Bangalore - 560064, KA, India",SLK Software,,,560064,Yelahanka,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Infrasoft Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
LocoNav,,,,,,,,,,,,,,,,
Dassault Systems,12.9299714,77.5740941,"Dassault Systems, MM Industries Road, Yediyuru, Bengaluru - 560070, KA, India",Dassault Systems,,MM Industries Road,560070,Bengaluru West City Corporation,BN,Bengaluru,Bangalore South,Karnataka,KA,India,in,
Data Glove,29.266385,75.995576,"Data, Hissar, India",,,,,,,Data,Hissar,Haryana,HR,India,in,
Incture,,,,,,,,,,,,,,,,
Fulcrum Digital Inc,,,,,,,,,,,,,,,,
MTX Group,16.417351,81.779701,"Madhya Group, East Godavari, India",,,,,,,Madhya Group,East Godavari,Andhra Pradesh,AP,India,in,
Urban Ladder,19.06307,72.8352389,"Urban Ladder, 250A, Linking Road, Khar, Mumbai - 400050, MH, India",Urban Ladder,250A,Linking Road,400050,Mumbai Zone 3,,Mumbai,Mumbai Suburban District,Maharashtra,MH,India,in,
SunTec Business Solutions,11.0108897,76.4860777,"Motorex Business Solutions, Mannarkkad-Aanakkati Road, Mannarkkad - 678582, KL, India",Motorex Business Solutions,,Mannarkkad-Aanakkati Road,678582,,PL,Mannarkkad,Mannarkad,Kerala,KL,India,in,
PureSoftware,28.6231687,77.3671322,"PureSoftware, Oshy Marg, Sector 62, Noida - 201301, UP, India",PureSoftware,,Oshy Marg,201301,,GB,Noida,Dadri,Uttar Pradesh,UP,India,in,
BetterPlace,12.9729053,77.6154772,"BetterPlace, Mahatma Gandhi Road, Ashokanagar, Bengaluru - 560025, KA, India",BetterPlace,,Mahatma Gandhi Road,560025,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
SugarBox Networks,12.9256413,77.6863239,"Applogic Networks, 1A, RMZ Ecoworld Internal Road, Shivanasamudra Ward, Bengaluru - 560103, KA, India",Applogic Networks,1A,RMZ Ecoworld Internal Road,560103,Bengaluru East City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
Polygon,13.0328374,80.2443589,"Prestige Polygon, Zone 9 Teynampet, Chennai - 600035, TN, India",Prestige Polygon,,,600035,Ward 122,,Chennai,Chennai,Tamil Nadu,TN,India,in,
Interra Information Technologies,31.5333033,75.9157511,"VaaSS Information Technologies Private Limited, 1-2, arya nagar, Mall Road, Aslamabad, Hoshiarpur - 146001, PB, India",VaaSS Information Technologies Private Limited,"1-2, arya nagar",Mall Road,146001,,HO,Hoshiarpur,Hoshiarpur Tahsil,Punjab,PB,India,in,
Ducen,12.9679914,80.2481244,"Ducen IT, # 4/363, Block-B, III Floor, Old Mahabalipuram Road, Zone 14 Perungudi, Chennai - 600096, TN, India",Ducen IT,"# 4/363, Block-B, III Floor",Old Mahabalipuram Road,600096,CMWSSB Division 183,,Chennai,Sholinganallur,Tamil Nadu,TN,India,in,
C,,,,,,,,,,,,,,,,
Trell,,,,,,,,,,,,,,,,
Newt Global Consulting,,,,,,,,,,,,,,,,
Imperative Business Ventures,,,,,,,,,,,,,,,,
